area,date,pm25,aqi
Anna Nagar,2026-05-26,34.4,93
Anna Nagar,2026-05-27,31.2,81
Anna Nagar,2026-05-28,43.1,94
Anna Nagar,2026-05-29,41.4,96
Anna Nagar,2026-05-30,32.8,91
Anna Nagar,2026-05-31,32.7,87
Anna Nagar,2026-06-01,42.3,112
Anna Nagar,2026-06-02,38.0,101
Anna Nagar,2026-06-03,42.1,102
Anna Nagar,2026-06-04,37.4,93
Anna Nagar,2026-06-05,37.2,89
Anna Nagar,2026-06-06,32.9,91
Anna Nagar,2026-06-07,34.4,84
Anna Nagar,2026-06-08,43.5,107
Anna Nagar,2026-06-09,38.5,94
Anna Nagar,2026-06-10,42.8,105
Anna Nagar,2026-06-11,40.0,91
Anna Nagar,2026-06-12,44.0,98
Anna Nagar,2026-06-13,34.9,96
Anna Nagar,2026-06-14,38.6,84
Anna Nagar,2026-06-15,43.0,108
Anna Nagar,2026-06-16,41.2,91
Anna Nagar,2026-06-17,31.8,86
Anna Nagar,2026-06-18,38.9,100
Anna Nagar,2026-06-19,37.5,94
Anna Nagar,2026-06-20,43.3,97
Anna Nagar,2026-06-21,40.2,95
Anna Nagar,2026-06-22,31.3,78
Anna Nagar,2026-06-23,31.6,88
Anna Nagar,2026-06-24,34.2,87
T Nagar,2026-05-26,47.0,127
T Nagar,2026-05-27,46.6,120
T Nagar,2026-05-28,50.0,117
T Nagar,2026-05-29,53.7,124
T Nagar,2026-05-30,45.4,118
T Nagar,2026-05-31,48.0,118
T Nagar,2026-06-01,45.3,121
T Nagar,2026-06-02,49.0,120
T Nagar,2026-06-03,61.7,140
T Nagar,2026-06-04,44.4,113
T Nagar,2026-06-05,41.5,108
T Nagar,2026-06-06,52.6,122
T Nagar,2026-06-07,43.7,114
T Nagar,2026-06-08,40.6,102
T Nagar,2026-06-09,43.0,111
T Nagar,2026-06-10,44.9,112
T Nagar,2026-06-11,38.0,105
T Nagar,2026-06-12,51.0,137
T Nagar,2026-06-13,50.0,111
T Nagar,2026-06-14,53.8,143
T Nagar,2026-06-15,47.8,117
T Nagar,2026-06-16,50.6,133
T Nagar,2026-06-17,49.5,118
T Nagar,2026-06-18,48.3,123
T Nagar,2026-06-19,43.4,118
T Nagar,2026-06-20,52.8,134
T Nagar,2026-06-21,59.9,153
T Nagar,2026-06-22,71.7,171
T Nagar,2026-06-23,75.2,185
T Nagar,2026-06-24,80.2,200
Velachery,2026-05-26,40.6,99
Velachery,2026-05-27,48.0,104
Velachery,2026-05-28,48.2,117
Velachery,2026-05-29,36.2,98
Velachery,2026-05-30,46.6,114
Velachery,2026-05-31,38.3,108
Velachery,2026-06-01,46.3,112
Velachery,2026-06-02,37.0,96
Velachery,2026-06-03,43.0,107
Velachery,2026-06-04,40.8,102
Velachery,2026-06-05,41.7,102
Velachery,2026-06-06,39.0,116
Velachery,2026-06-07,41.8,103
Velachery,2026-06-08,41.8,107
Velachery,2026-06-09,37.4,90
Velachery,2026-06-10,42.9,118
Velachery,2026-06-11,43.8,111
Velachery,2026-06-12,38.6,104
Velachery,2026-06-13,44.8,102
Velachery,2026-06-14,49.1,109
Velachery,2026-06-15,47.1,114
Velachery,2026-06-16,48.9,118
Velachery,2026-06-17,43.8,111
Velachery,2026-06-18,40.1,105
Velachery,2026-06-19,41.6,112
Velachery,2026-06-20,43.9,111
Velachery,2026-06-21,48.0,114
