area,date,complaint
Anna Nagar,2026-05-26,Noise pollution
Anna Nagar,2026-05-29,Heavy traffic
Anna Nagar,2026-05-30,Noise pollution
Anna Nagar,2026-05-30,Heavy traffic
Anna Nagar,2026-05-31,Noise pollution
Anna Nagar,2026-06-01,Streetlight not working
Anna Nagar,2026-06-02,Water leakage
Anna Nagar,2026-06-03,Water leakage
Anna Nagar,2026-06-03,Streetlight not working
Anna Nagar,2026-06-03,Open drainage
Anna Nagar,2026-06-04,Water leakage
Anna Nagar,2026-06-04,Heavy traffic
Anna Nagar,2026-06-05,Road damage
Anna Nagar,2026-06-05,Open drainage
Anna Nagar,2026-06-06,No water supply
Anna Nagar,2026-06-06,Road damage
Anna Nagar,2026-06-06,Water leakage
Anna Nagar,2026-06-07,No water supply
Anna Nagar,2026-06-07,Garbage not collected
Anna Nagar,2026-06-08,Garbage not collected
Anna Nagar,2026-06-09,Heavy traffic
Anna Nagar,2026-06-10,Water leakage
Anna Nagar,2026-06-10,Heavy traffic
Anna Nagar,2026-06-11,Road damage
Anna Nagar,2026-06-11,Water leakage
Anna Nagar,2026-06-13,Streetlight not working
Anna Nagar,2026-06-13,Road damage
Anna Nagar,2026-06-13,Open drainage
Anna Nagar,2026-06-13,Water leakage
Anna Nagar,2026-06-14,Open drainage
Anna Nagar,2026-06-14,Open drainage
Anna Nagar,2026-06-15,Water leakage
Anna Nagar,2026-06-17,Streetlight not working
Anna Nagar,2026-06-17,Heavy traffic
Anna Nagar,2026-06-17,Road damage
Anna Nagar,2026-06-17,Heavy traffic
Anna Nagar,2026-06-17,No water supply
Anna Nagar,2026-06-18,Garbage not collected
Anna Nagar,2026-06-18,Noise pollution
Anna Nagar,2026-06-20,Water leakage
Anna Nagar,2026-06-21,Water leakage
Anna Nagar,2026-06-22,Heavy traffic
Anna Nagar,2026-06-22,No water supply
Anna Nagar,2026-06-23,Water leakage
Anna Nagar,2026-06-23,Streetlight not working
Anna Nagar,2026-06-23,Garbage not collected
Anna Nagar,2026-06-23,Open drainage
Anna Nagar,2026-06-24,No water supply
T Nagar,2026-05-26,Heavy traffic
T Nagar,2026-05-26,Noise pollution
T Nagar,2026-05-26,No water supply
T Nagar,2026-05-26,Streetlight not working
T Nagar,2026-05-27,Streetlight not working
T Nagar,2026-05-27,Garbage not collected
T Nagar,2026-05-27,Garbage not collected
T Nagar,2026-05-28,Heavy traffic
T Nagar,2026-05-28,Garbage not collected
T Nagar,2026-05-29,No water supply
T Nagar,2026-05-30,Water leakage
T Nagar,2026-05-30,Streetlight not working
T Nagar,2026-06-01,Open drainage
T Nagar,2026-06-01,Noise pollution
T Nagar,2026-06-02,Heavy traffic
T Nagar,2026-06-02,Road damage
T Nagar,2026-06-02,Garbage not collected
T Nagar,2026-06-02,Garbage not collected
T Nagar,2026-06-02,Streetlight not working
T Nagar,2026-06-02,Open drainage
T Nagar,2026-06-03,Road damage
T Nagar,2026-06-03,Open drainage
T Nagar,2026-06-03,Noise pollution
T Nagar,2026-06-03,Open drainage
T Nagar,2026-06-03,Open drainage
T Nagar,2026-06-06,No water supply
T Nagar,2026-06-06,Garbage not collected
T Nagar,2026-06-06,Road damage
T Nagar,2026-06-06,Open drainage
T Nagar,2026-06-06,Garbage not collected
T Nagar,2026-06-07,Garbage not collected
T Nagar,2026-06-07,No water supply
T Nagar,2026-06-07,Noise pollution
T Nagar,2026-06-07,Garbage not collected
T Nagar,2026-06-09,Noise pollution
T Nagar,2026-06-09,Water leakage
T Nagar,2026-06-09,Garbage not collected
T Nagar,2026-06-09,Streetlight not working
T Nagar,2026-06-09,Water leakage
T Nagar,2026-06-09,Road damage
T Nagar,2026-06-11,Road damage
T Nagar,2026-06-11,Heavy traffic
T Nagar,2026-06-12,Streetlight not working
T Nagar,2026-06-12,No water supply
T Nagar,2026-06-12,Road damage
T Nagar,2026-06-13,Road damage
T Nagar,2026-06-13,Garbage not collected
T Nagar,2026-06-14,No water supply
T Nagar,2026-06-14,Open drainage
T Nagar,2026-06-15,No water supply
T Nagar,2026-06-15,Streetlight not working
T Nagar,2026-06-15,Water leakage
T Nagar,2026-06-15,Garbage not collected
T Nagar,2026-06-16,Streetlight not working
T Nagar,2026-06-16,No water supply
T Nagar,2026-06-16,Water leakage
T Nagar,2026-06-16,Garbage not collected
T Nagar,2026-06-16,No water supply
T Nagar,2026-06-18,No water supply
T Nagar,2026-06-19,Heavy traffic
T Nagar,2026-06-19,Noise pollution
T Nagar,2026-06-20,Garbage not collected
T Nagar,2026-06-20,Garbage not collected
T Nagar,2026-06-20,Garbage not collected
T Nagar,2026-06-20,No water supply
T Nagar,2026-06-20,Water leakage
T Nagar,2026-06-21,Water leakage
T Nagar,2026-06-21,Garbage not collected
T Nagar,2026-06-21,No water supply
T Nagar,2026-06-21,No water supply
T Nagar,2026-06-21,No water supply
T Nagar,2026-06-21,Water leakage
T Nagar,2026-06-22,Garbage not collected
T Nagar,2026-06-22,Water leakage
T Nagar,2026-06-22,No water supply
T Nagar,2026-06-22,No water supply
T Nagar,2026-06-22,Garbage not collected
T Nagar,2026-06-22,Garbage not collected
T Nagar,2026-06-22,Garbage not collected
T Nagar,2026-06-22,No water supply
T Nagar,2026-06-22,No water supply
T Nagar,2026-06-22,No water supply
T Nagar,2026-06-22,No water supply
T Nagar,2026-06-22,No water supply
T Nagar,2026-06-22,Water leakage
T Nagar,2026-06-22,No water supply
T Nagar,2026-06-23,Garbage not collected
T Nagar,2026-06-23,No water supply
T Nagar,2026-06-23,No water supply
T Nagar,2026-06-23,No water supply
T Nagar,2026-06-23,Garbage not collected
T Nagar,2026-06-23,No water supply
T Nagar,2026-06-23,Water leakage
T Nagar,2026-06-23,Water leakage
T Nagar,2026-06-23,Garbage not collected
T Nagar,2026-06-23,No water supply
T Nagar,2026-06-24,Garbage not collected
T Nagar,2026-06-24,No water supply
T Nagar,2026-06-24,Water leakage
T Nagar,2026-06-24,Water leakage
T Nagar,2026-06-24,No water supply
T Nagar,2026-06-24,Water leakage
T Nagar,2026-06-24,No water supply
T Nagar,2026-06-24,No water supply
T Nagar,2026-06-24,No water supply
T Nagar,2026-06-24,No water supply
T Nagar,2026-06-24,Water leakage
T Nagar,2026-06-24,Garbage not collected
T Nagar,2026-06-24,No water supply
T Nagar,2026-06-24,No water supply
T Nagar,2026-06-24,No water supply
Velachery,2026-05-26,Streetlight not working
Velachery,2026-05-27,Water leakage
Velachery,2026-05-27,No water supply
Velachery,2026-05-27,Streetlight not working
Velachery,2026-05-28,Water leakage
Velachery,2026-05-28,Open drainage
Velachery,2026-05-29,No water supply
Velachery,2026-05-30,Streetlight not working
Velachery,2026-05-30,Garbage not collected
Velachery,2026-06-01,Noise pollution
Velachery,2026-06-04,Water leakage
Velachery,2026-06-05,No water supply
Velachery,2026-06-05,Road damage
Velachery,2026-06-05,Streetlight not working
